id,title,info_text
280872,Lamadreef 60,"4-Kamer appartement aan de Lamadreef, in de wijk Overvecht. Het appartement ligt op de 3e verdieping en beschikt over een balkon op het zuidwesten.Indeling:Je komt binnen via de gezamenlijke entree van het appartementencomplex. De woning beschikt over een woonkamer, gesloten keuken waar u elektrisch kunt koken, 3 slaapkamers, een badkamer en een toilet. De woning wordt verwarmd d.m.v. stadsverwarming. Er is een individuele en inpandige berging aanwezig. Technische staat: Houd er rekening mee dat u zelf ook nog het een en ander moet doen om de woning naar uw smaak te maken. Denk daarbij aan het leggen van vloeren, behangen van muren en schilderwerk in de woning. In onze brochure “goed voorbereid een woning bezichtigen” leest u welke klussen voor uzelf zijn en welke Woonin voor u doet.Omgeving: Overvecht is de afgelopen jaren flink opgeknapt. Op loopafstand liggen diverse scholen, supermarkten, andere winkels en eet- en drinkgelegenheden. Daarnaast is Overvecht goed bereikbaar met het openbaar vervoer (NS Station Overvecht) en binnen 15 fietsminuten ben je in het centrum van Utrecht. Met de auto ben je binnen enkele minuten op de diverse uitvalswegen en de A27. In heel Overvecht is parkeren gratis.Bezichtiging:Kandidaten die in aanmerking komen voor de bezichtiging ontvangen na sluitingsdatum van de advertentie nog een uitnodiging met de definitieve datum en tijdstip. Het betreft een bezichtiging in bewoonde staat. Graag met maximaal twee mensen naar de bezichtiging komen!BeeldmateriaalHelaas hebben wij weinig beeldmateriaal tot onze beschikking. Als u in aanmerking komt voor deze woning, dan kunt u de woning natuurlijk bezichtigen. BijzonderhedenLet op: - Het plaatsen van een schotelantenne is niet toegestaan bij deze woning.Overnames:Er zijn zowel gratis als betaalde overnames aanwezig in de woning. Tijdens de bezichtiging in bewoonde staat kunt u deze bekijken en beoordelen of u dit wilt overnemen van de vorige huurder. Energielabel:Er is op dit moment geen geldig energielabel van de woning aanwezig. Op het moment van oplevering van de woning is deze wel beschikbaar.Zonnepanelen:Op deze woning zijn zonnepanelen geplaatst die energie opwekken.De advertentie is gewijzigd op 04-12-2024 07:54:25."
280864,Hereweg 49 E,"Leuke bovenwoning met 1 slaapkamer en een klein balkon in de Herewegbuurt. U zit dichtbij het hoofdstation en het centrum. In de woning vinden een keuken, toilet en badkamerrenovatie plaats.De huuringangsdatum is 14 januari 2025.Minimaal inkomen voor deze woning:• geen eisenMaximaal inkomen voor deze woning (dit geldt niet voor wijkvernieuwingsurgenties en rolstoelindicaties):• Voor 1 persoon € 49.669,-• Voor 2 of meer personen € 54.847,-"
281633,Selvasdreef 56,"3-Kamer appartement aan de Selvasdreef, in de wijk Overvecht. Het appartement ligt op de 1e verdieping en beschikt over een balkon op het Noorden en een achtertuin op het Noorden (te bereiken via een trappetje vanaf het balkon). Indeling:Je komt binnen via de gezamenlijke entree van het appartementencomplex. De woning beschikt over een woonkamer, gesloten keuken waar u elektrisch kunt koken, 2 slaapkamers, een badkamer en een toilet.  De woning wordt verwarmd d.m.v. stadsverwarming. Er is een individuele berging aanwezig. Technische staat: Houd er rekening mee dat u zelf ook nog het een en ander moet doen om de woning naar uw smaak te maken. Denk daarbij aan het leggen van vloeren, behangen van muren en schilderwerk in de woning. In onze brochure “goed voorbereid een woning bezichtigen” leest u welke klussen voor uzelf zijn en welke Woonin voor u doet. Omgeving: Overvecht is de afgelopen jaren flink opgeknapt. Op loopafstand liggen diverse scholen, supermarkten, andere winkels en eet- en drinkgelegenheden. Daarnaast is Overvecht goed bereikbaar met het openbaar vervoer (NS Station Overvecht) en binnen 15 fietsminuten ben je in het centrum van Utrecht. Met de auto ben je binnen enkele minuten op de diverse uitvalswegen en de A27. In heel Overvecht is parkeren gratis. Bezichtiging:Kandidaten die in aanmerking komen voor de bezichtiging ontvangen na sluitingsdatum van de advertentie nog een uitnodiging met de definitieve datum en tijdstip.BeeldmateriaalHelaas hebben wij weinig beeldmateriaal tot onze beschikking. Als u in aanmerking komt voor deze woning, dan kunt u de woning natuurlijk bezichtigen. BijzonderhedenLet op: - Het plaatsen van een schotelantenne is niet toegestaan bij deze woning.Overnames: vloer en glazen wandje badkamer gratis ter overnameZonnepanelenOp deze woning zijn zonnepanelen geplaatst die energie opwekken. "
279978,Albert Meijnsstraat 319,"Corridorflat WoningEen persoonlijk intakegesprek maakt deel uit van de selectieprocedure. Indien u kandidaat 1 wordt voor deze woning willen wij u erop wijzen dat toezegging van de woning pas geschied na goed keuring van het persoonlijke intake gesprek. Kandidaten dienen een dagbesteding te hebben. Rustige en nette bewoning gewenst.Indien u afwezig bent bij de bezichtiging zonder geldige reden, kunnen wij u deze woning niet toewijzen.Centraal gelegen in het dorp WormerveerBouwjaar 1984Woning te bereiken via trap of liftDeze woning wordt niet verhuurd aan een huishouden met kinderenVloertype BetonOpen keukenElektrisch koken perilex aansluiting aanwezig maximaal 7200 wattBalkon op het noord westenBerging inpandig en algemene fietsenstalling op de begane grondHet enige toilet is in de badkamerGratis parkeren in de omgevingAlgemeen gebouw gebonden mechanisch ventilatie systeemWasmachine aansluiting in de badkamerGehorigheid: leef geluiden. Houd er rekening mee dat u zelf nog het één en ander moet doen om de woning naar uw smaak te maken. Denk hierbij aan het leggen van vloeren/ondervloeren (minimaal 10 decibel reducerend), afstomen van behang, schilderen/behangen van de muren, deuren, (raam)kozijnen en plafonds. Parteon levert de woning aan u op volgens de basisregels: Schoon en veilig.Foto's ter indicatie: afwerking kan afwijkenGemeenschappelijke fietsenstallingKosten voor verwarming en water zitten in de servicekostenOmgevingSupermarkt op loop-fietsafstandOpenbaar vervoer op loop-fietsafstand Weids uitzichtNette bewoning gewenstLet op: woningkenmerken en plattegrond kunnen mogelijk iets afwijken van de werkelijkheid. Bijvoorbeeld omdat wij nog werkzaamheden moeten uitvoeren na de bezichtiging. De basis zoals het aantal kamers en het type woning staan vast.Aan deze advertentie kunt u geen rechten ontlenen.Huurprijs is onder voorbehoud. Deze kan nog wijzigen. "
279647,Zaanstroom 99,"Galerijflat WoningCentraal gelegen in het dorp WormerveerWoning te bereiken via trap of liftDeze woning wordt niet verhuurd aan een huishouden met kinderen.Vloertype BetonGelijkvloersOpen keukenElektrisch koken perilex aansluiting aanwezig maximaal 7200 wattBalkon op het zuid oostenKleine externe berging op de begane grond aanwezig 1 toilet in de badkamer Gratis parkeren in de omgeving van het gebouwWasmachine aansluiting in de badkamer Gehorigheid: leef geluiden. Houd er rekening mee dat u zelf nog het één en ander moet doen om de woning naar uw smaak te maken. Denk hierbij aan het leggen van vloeren/ondervloeren (minimaal 10 decibel reducerend), afstomen van behang, schilderen/behangen van de muren, deuren, (raam)kozijnen en plafonds. Parteon levert de woning aan u op volgens de basisregels: Schoon en veilig.Foto's ter indicatie: afwerking kan afwijkenGemeenschappelijke tuinGemeenschappelijke ontmoetingsruimte met activiteitenKosten voor water zitten in de servicekostenOmgevingSupermarkt op loop-fietsafstandOpenbaar vervoer op loop-fietsafstand Nette bewoning gewenstLet op: woningkenmerken en plattegrond kunnen mogelijk iets afwijken van de werkelijkheid. Bijvoorbeeld omdat wij nog werkzaamheden moeten uitvoeren na de bezichtiging. De basis zoals het aantal kamers en het type woning staan vast.Aan deze advertentie kunt u geen rechten ontlenen.Huurprijs is onder voorbehoud. Deze kan nog wijzigen. "
280777,Mastbos 71,"Let op! Plattegrond kan afwijken van de werkelijkheid.Let op! Voor deze woning kan geen huurtoeslag worden aangevraagd. Beschrijving woning:Betreft een 4 kamer hoek galerij woning gelegen op de 3e etage aan het einde van de galerij naast het noodtrappenhuis. Kenmerken woning:energielabel Cbereikbaar met liftopen keukenelektrisch koken met perilex aansluiting (2 fase)aansluiting wasmachine in de badkamerindividuele cv combi-keteltoilet apartdubbele beglazinggehorige woningbalkoneen berging benedenDe overige kenmerken van de woning zijn helemaal onderaan te vinden. In de buurt:winkelsvoorzieningenopenbaar vervoerscholen Afval en parkeren:Benieuwd waar u huisafval kan laten?Klik hier voor meer informatie over huisvuil in AmsterdamKlik hier voor meer informatie over huisvuil in Diemen.Benieuwd of er een parkeermogelijkheid is bij deze woning? Let op: bij sommige woningen is een parkeervergunning niet toegestaan.Klik hier voor meer informatie over parkeervergunningen in de gemeente AmsterdamKlik hier voor meer informatie over parkeervergunningen in de gemeente Diemen Technische staat van onze woningen:We leveren de woning volgens de Lieven de Key standaard op. Houd er rekening mee dat u zelf nog wat aan de woning moet doen. Denk hierbij bijvoorbeeld aan behangen en schilderen en het leggen van een vloer. Kijk hier voor de kwaliteitseisen van Lieven de Key en hoe wij een woning opleveren. Aanvullende voorwaarden: Waarborgsom:Lieven de Key brengt een waarborgsom ter hoogte van €808,- in rekening. Deze waarborgsom betaalt u samen met de eerste huur vóór ondertekening van de huurovereenkomst. Verzamel alvast uw gegevens:Wordt u uitgenodigd voor de bezichtiging? Verzamel dan alvast uw gegevens. Wacht niet totdat u de eerste kandidaat bent. Deze documenten moet u straks aanleveren:1. Verklaring kandidaat (verplicht document)2. Inkomensverklaring van de belastingdienst (verplicht document)3. Verhuurdersverklaring: woont u nog thuis? Dan hoeft u dit document niet aan te leveren.4. Uittreksel Basisregistratie Personen (BRP) van de gemeente waar u nu woont: woont u in Amsterdam? Dan hoef u dit document niet aan te leveren. Kijk voor meer informatie over deze documenten op onze website: https://lievendekey.nl/socialehuurwoning"
281609,Albert Meijnsstraat 239,"Corridorflat WoningEen persoonlijk intakegesprek maakt deel uit van de selectieprocedure. Indien u kandidaat 1 wordt voor deze woning willen wij u erop wijzen dat toezegging van de woning pas geschied na goed keuring van het persoonlijke intake gesprek. Kandidaten dienen een dagbesteding te hebben. Rustige en nette bewoning gewenst.Indien u afwezig bent bij de bezichtiging zonder geldige reden, kunnen wij u deze woning niet toewijzen.Centraal gelegen in het dorp WormerveerBouwjaar 1984Woning te bereiken via trap of liftDeze woning wordt niet verhuurd aan een huishouden met kinderenVloertype BetonOpen keukenElektrisch koken perilex aansluiting aanwezig maximaal 7200 wattBalkon op het noord westenBerging inpandig en algemene fietsenstalling op de begane grondHet enige toilet is in de badkamerGratis parkeren in de omgevingAlgemeen gebouw gebonden mechanisch ventilatie systeemWasmachine aansluiting in de badkamerGehorigheid: leef geluiden. Houd er rekening mee dat u zelf nog het één en ander moet doen om de woning naar uw smaak te maken. Denk hierbij aan het leggen van vloeren/ondervloeren (minimaal 10 decibel reducerend), afstomen van behang, schilderen/behangen van de muren, deuren, (raam)kozijnen en plafonds. Parteon levert de woning aan u op volgens de basisregels: Schoon en veilig.Foto's ter indicatie: afwerking kan afwijkenGemeenschappelijke fietsenstallingKosten voor verwarming en water zitten in de servicekostenOmgevingSupermarkt op loop-fietsafstandOpenbaar vervoer op loop-fietsafstand Weids uitzichtNette bewoning gewenstLet op: woningkenmerken en plattegrond kunnen mogelijk iets afwijken van de werkelijkheid. Bijvoorbeeld omdat wij nog werkzaamheden moeten uitvoeren na de bezichtiging. De basis zoals het aantal kamers en het type woning staan vast.Aan deze advertentie kunt u geen rechten ontlenen.Huurprijs is onder voorbehoud. Deze kan nog wijzigen."
280736,Flamingostraat 9 H,"Let op! Plattegrond kan afwijken van de werkelijkheid.Let op! Deze woning is niet bestemd voor studenten. Beschrijving woningBetreft een 2-kamer begane grondwoning met tuin en schuur. LET OP !! De schuur is alleen via de woning te bereiken. Er is dus geen achterom. Kenmerken woning:energielabel Aniet bereikbaar met liftopen keukenelektrisch koken met perilex aansluiting (2 fase)aansluiting wasmachine in de keukenindividuele cv combi-keteltoilet in badkamerdubbele beglazinggehorige woningtuinberging in de tuinDe overige kenmerken van de woning zijn helemaal onderaan te vinden. In de buurt:winkelsvoorzieningenopenbaar vervoerscholennatuur Afval en parkeren:Benieuwd waar u huisafval kan laten?Klik hier voor meer informatie over huisvuil in AmsterdamKlik hier voor meer informatie over huisvuil in Diemen.Benieuwd of er een parkeermogelijkheid is bij deze woning? Let op: bij sommige woningen is een parkeervergunning niet toegestaan.Klik hier voor meer informatie over parkeervergunningen in de gemeente AmsterdamKlik hier voor meer informatie over parkeervergunningen in de gemeente Diemen Technische staat van onze woningenWe leveren de woning volgens de Lieven de Key standaard op. Houd er rekening mee dat u zelf nog wat aan de woning moet doen. Denk hierbij bijvoorbeeld aan behangen en schilderen en het leggen van een vloer. Kijk hier voor de kwaliteitseisen van Lieven de Key en hoe wij een woning opleveren.Aanvullende voorwaardenWaarborgsomLieven de Key brengt een waarborgsom ter hoogte van €647,- in rekening. Deze waarborgsom betaalt usamen met de eerste huur vóór ondertekening van de huurovereenkomst.Verzamel alvast uw gegevensWordt u uitgenodigd voor de bezichtiging? Verzamel dan alvast uw gegevens. Wacht niet totdat u deeerste kandidaat bent. Deze documenten moet u straks aanleveren:1. Verklaring kandidaat (verplicht document)2. Inkomensverklaring van de belastingdienst (verplicht document)3. Verhuurdersverklaring: woont u nog thuis? Dan hoeft u dit document niet aan te leveren.4. Uittreksel Basisregistratie Personen (BRP) van de gemeente waar u nu woont: woont u in Amsterdam? Dan hoef u dit document niet aan te leveren.Als aanvulling op de voorwaardentekst benadrukken wij dat u alleen voor deze jongerenwoning in aanmerking komt als u op de huuringangsdatum nog geen 28 jaar bent. U moet jonger zijn dan 28 jaar op de dag dat u het contract ondertekent. Verder geldt dat voltijdstudenten niet in aanmerking komen voor een jongerenwoning."
281279,Dirk Huizingastraat 18 -10,"LET OP: Voordat u een woning gaat huren, adviseren we u om een offerte op te vragen voor de energiekosten bij een energieleverancier. Houd hierbij rekening met het energielabel van de woning, dit kan invloed hebben op uw verbruik. Met deze informatie kunt u beter inschatten wat de totale vaste lasten worden voor de aangeboden woning.Dit appartement ligt in een seniorencomplex. Om voor de woning in aanmerking te komen moet minimaal één van de aanvragers 55 jaar of ouder zijn. De portiek is afgesloten en voorzien van een intercom. De bushalte, de winkel en het UMCG zijn op loopafstand. De portiek van het complex is voorzien van een muurschildering vanuit het project Pimp je Portiek. InkomenseisMinimaal inkomen voor deze woning:• Voor 1 persoon: € 27.725,-• Voor 1 persoon met AOW: € 27.225-• Voor 2 of meer personen: € 37.625,-• Voor 2 of meer personen met AOW: € 36.675,-Maximaal inkomen voor deze woning (dit geldt niet voor wijkvernieuwingsurgenties en rolstoelindicaties):• Voor 1 persoon € 47.699,-• Voor 2 of meer personen € 52.671,-Meer algemene informatie over inkomensregels vindt u hier.OvernameEr is eventuele overname van zeil.ParkerenInformatie over parkeren in de wijk is hier te vinden. LotingAls een woning 10 keer wordt geweigerd bieden we de woning mogelijk via loting aan. Deze optie vindt u in WoningNet. Bij loting is de opgebouwde wachttijd niet van belang. "
281691,Gustav Mahlerlaan 1586,"Let op! Plattegrond kan afwijken van de werkelijkheid. Foto's zijn van een modelwoning en komen niet exact overeen met de aangeboden woning.Let op! Deze woning is niet bestemd voor studenten.Let op! Voor deze woning kan geen huurtoeslag worden aangevraagd. Beschrijving woningTwee kamerwoning op de 5e verdieping aan de Zuidas met eigen voordeur. Kenmerken woning:energielabel A+bereikbaar met liftelektrisch koken (geen Perilex-aansluiting)aansluiting wasmachine in de badkamertoilet in de badkamerdubbele beglazingbalkon aanwezigDe woning wordt verwarmd via een zogenaamde warmte koudeopslag (hiervoor sluit je een verplicht contract af met leverancier Eteck)De wanden zijn al wit geschilderd en voorzien van glasvezelbehang. Gebouw Stepstone staat in het financiële hart van Amsterdam, aan de Zuidas. De woontoren van 23 verdiepingen komt op loopafstand van metro- en treinstation Zuid en op fietsafstand van de binnenstad. Er zijn 2 liften in het gebouw. Er komen gedeelde voorzieningen zoals een gemeenschappelijke huis- en studiekamer waar bewoners elkaar kunnen ontmoeten. Er is een dakterras waar je kunt loungen en sporten. Het gebouw is ontworpen met veel glas, balkons en verticaal groen langs de gevels. Er is een ‘Bring- Me Box’ aanwezig. Hier kun je je pakjes laten afleveren en ophalen. Daarnaast is er een stalling voor fietsen en scooters (zonder oplaadpunten).   In de buurt:winkelsvoorzieningenopenbaar vervoerscholennatuur Afval en parkeren:Benieuwd waar u huisafval kan laten?Klik hier voor meer informatie over huisvuil in AmsterdamKlik hier voor meer informatie over huisvuil in Diemen.Benieuwd of er een parkeermogelijkheid is bij deze woning? Let op: bij sommige woningen is een parkeervergunning niet toegestaan.Klik hier voor meer informatie over parkeervergunningen in de gemeente AmsterdamKlik hier voor meer informatie over parkeervergunningen in de gemeente Diemen Technische staat van onze woningenWe leveren de woning volgens de Lieven de Key standaard op. Houd er rekening mee dat u zelf nog wat aan de woning moet doen. Denk hierbij bijvoorbeeld aan schilderen en het leggen van een vloer. Kijk hier voor de kwaliteitseisen van Lieven de Key en hoe wij een woning opleveren. Aanvullende voorwaardenWaarborgsomLieven de Key brengt een waarborgsom ter hoogte van €808,- in rekening. Deze waarborgsom betaalt usamen met de eerste huur vóór ondertekening van de huurovereenkomst.Verzamel alvast uw gegevensWordt u uitgenodigd voor de bezichtiging? Verzamel dan alvast uw gegevens. Wacht niet totdat u de eerste kandidaat bent. Deze documenten moet u straks aanleveren: Verklaring kandidaat (verplicht document) Inkomensverklaring van de belastingdienst (verplicht document) Verhuurdersverklaring: woont u nog thuis? Dan hoeft u dit document niet aan te leveren. Uittreksel Basisregistratie Personen (BRP) van de gemeente waar u nu woont: woont u in Amsterdam? Dan hoef u dit document niet aan te leveren.  Als aanvulling op de voorwaardentekst benadrukken wij dat u alleen voor deze jongerenwoning in aanmerking komt als u op de huuringangsdatum nog geen 28 jaar bent. U moet jonger zijn dan 28 jaar op de dag dat u het contract ondertekent. Verder geldt dat voltijdstudenten niet in aanmerking komen voor een jongerenwoning."
